Link_Candidato,Experiencia
https://scrap-example.onrender.com/scraping.html0,desenvolvedor back-end sênior
https://scrap-example.onrender.com/scraping.html1,desenvolvedor de jogos pleno
https://scrap-example.onrender.com/scraping.html2,desenvolvedor .net júnior
https://scrap-example.onrender.com/scraping.html3,analista de suporte técnico júnior
https://scrap-example.onrender.com/scraping.html4,especialista em ia nível júnior
https://scrap-example.onrender.com/scraping.html5,analista de banco de dados pleno
https://scrap-example.onrender.com/scraping.html6,desenvolvedora react pleno
https://scrap-example.onrender.com/scraping.html7,especialista em virtualização sênior
https://scrap-example.onrender.com/scraping.html8,desenvolvedora de jogos pleno
https://scrap-example.onrender.com/scraping.html9,analista de segurança de ti sênior
https://scrap-example.onrender.com/scraping.html10,desenvolvedora angular sênior
https://scrap-example.onrender.com/scraping.html11,"engenheiro de redes pleno mudanças, projetos, resultados, estratégica"
https://scrap-example.onrender.com/scraping.html12,"cientista de dados pleno vue, desenvolvimento, estratégica, html5, uiux, gerenciamento"
https://scrap-example.onrender.com/scraping.html13,"analista de suporte a aplicações pleno resolução, estratégica, uiux, aprender, gerenciamento, novas"
https://scrap-example.onrender.com/scraping.html14,"desenvolvedora ruby pleno css3, html5, comprometimento, uiux, desenvolvimento, estratégica"
https://scrap-example.onrender.com/scraping.html15,"especialista em cloud computing pleno gerenciamento, proatividade, resultados, novas, estratégica, resolução"
https://scrap-example.onrender.com/scraping.html16,"analista de sistemas erp pleno estratégica, resultados, adaptabilidade, uiux, desenvolvimento, novas"
https://scrap-example.onrender.com/scraping.html17,"desenvolvedor front-end júnior projetos, mudanças, uiux, desenvolvimento, estratégica, aprender"
https://scrap-example.onrender.com/scraping.html18,"especialista em blockchain pleno vue, web, comprometimento, desenvolvimento, estratégica, novas"
https://scrap-example.onrender.com/scraping.html19,"analista de redes sociais júnior gerenciamento, estratégica, resolução, resultados, aprender, novas"
https://scrap-example.onrender.com/scraping.html20,"desenvolvedora python pleno javascript, uiux, novas, css3, desenvolvimento, estratégica"
https://scrap-example.onrender.com/scraping.html21,gerente de ti sênior
https://scrap-example.onrender.com/scraping.html22,"analista de dados pleno comprometimento, estratégica, aprender, proatividade, resolução, uiux"
https://scrap-example.onrender.com/scraping.html23,"desenvolvedor java pleno resolução, novas, aprender, desenvolvimento, uiux, estratégica"
https://scrap-example.onrender.com/scraping.html24,"engenheira de testes pleno mudanças, problemas, uiux, estratégica, gerenciamento, comprometimento"
https://scrap-example.onrender.com/scraping.html25,"arquiteto de software pleno css3, vue, desenvolvimento, html5, estratégica, proatividade"
https://scrap-example.onrender.com/scraping.html26,"desenvolvedora ruby on rails júnior comprometimento, projetos, gerenciamento, resultados, estratégica, aprender"
https://scrap-example.onrender.com/scraping.html27,"especialista em redes sem fio júnior estratégica, aprender, html5, javascript, uiux, desenvolvimento"
https://scrap-example.onrender.com/scraping.html28,"analista de infraestrutura júnior vue, uiux, desenvolvimento, estratégica, resultados, novas"
https://scrap-example.onrender.com/scraping.html29,"analista de qualidade de software júnior mudanças, proatividade, problemas, gerenciamento, resolução, adaptabilidade"
https://scrap-example.onrender.com/scraping.html30,"desenvolvedora php pleno projetos, html5, estratégica, resultados, desenvolvimento, comprometimento"
https://scrap-example.onrender.com/scraping.html31,"analista de suporte a redes júnior novas, comprometimento, desenvolvimento, uiux, gerenciamento, aprender"
